GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 6.23214e+006         COTONETES X 150 + 75 GRATIS                                            OFERTAS                        COTTON SWABS                   7730198001543     18 N     20161114T1117  A      
7737001260012 6.23216e+006         SHAMPOO X 200 + JABON X 80                                             OFERTAS                        BABY TOILETRIES                7730198001000     12 N     20161114T1117  A      
7737001260012 6.2322e+006          REACH ACCESS MEDIO 2X1                                                 OFERTAS                        ORAL TOOTHBRUSHES              7730198000959      6 N     20161114T1117  A      
7737001260012 6.23232e+006         REACH ACCESS DURO 2X1                                                  OFERTAS                        ORAL TOOTHBRUSHES              7730198001536      6 N     20161114T1117  A      
7737001260012 6.23233e+006         SHAMPOO MANZ. X 200 + JABON 80                                         OFERTAS                        BABY TOILETRIES                7730198001031     12 N     20161114T1117  A      
7737001260012 6.23252e+006         OF.COTONETES LLEVE 75 PAGUE 60                                         OFERTAS                        COTTON SWABS                   7730198002748     60 N     20161114T1117  A      
7737001260012 6.23256e+006         OB MEDIO OFERTA 20+10                                                  OB                             SANPRO INTERNAL                7730198002076     30 N     20161114T1117  A      
7737001260012 6.23256e+006         OB MEDIO OFERTA 20+10                                                  OB                             SANPRO INTERNAL                7730198002083     30 N     20161114T1117  A      
7737001260012 6.2326e+006          TALCO + JABON X 80 GRS.                                                OFERTAS                        BABY TOILETRIES                7730198002434     12 N     20161114T1117  A      
7737001260012 6.2326e+006          TALCO + JABON X 80 GRS.                                                OFERTAS                        BABY TOILETRIES                7730198002441     10 N     20161114T1117  A      
7737001260012 6.23455e+006         OF.CEP.REACH COMFORT CLEAN 2X1                                         REACH                          ORAL CARE                      7730198002854      6 N     20161114T1117  A      
7737001260012 6.23502e+006         HILO J&J REACH REGULAR 2 X 1                                           OFERTAS                        ORAL FLOSS                     7730198003578     12 N     20161114T1117  A      
7737001260012 6.23504e+006         CAREFREE COMPACT 80 X 60                                               OFERTAS                        SANPRO INTERMENSTRUAL          7730198003738     15 N     20161114T1117  A      
7737001260012 6.2397e+006          SHAMPOO MANZANILLA 400 X 300                                           OFERTAS                        BABY TOILETRIES                7730198003219     12 N     20161114T1117  A      
7737001260012 6.2399e+006          COLONIA FCA.CARICIA X200 -25%                                          OFERTAS                        BABY TOILETRIES                7730198003301     12 N     20161114T1117  A      
7737001260012 6000402              ABS SL SLINEA ABA D SENS AGE NAT 24X16UN                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010891213     24 N     20121012T1232  A      
7737001260012 6000403              ABS SL U FINOS ABA SV PULP FILLED 48X8UN                               SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010891220     48 N     20110120T1638  A      
7737001260012 6000597              CAREFREE COMPACT SIN PERFUME  60 X  20                                 CAREFREE                       SANPRO INTERMENSTRUAL          7790010005661     60 N     20080516T0955  A      
7737001260012 6000703              COLONIA F.C.12X100                                                     JOHNSON'S BABY                 BABY TOILETRIES                7790010007030     12 N     20080516T0955  A      
7737001260012 6000709              COLONIA NATURAL 12X100                                                 JOHNSON'S BABY                 BABY TOILETRIES                7790010007092     12 N     20080516T0955  A      
7737001260012 6000903              TALCO MILK 24X200                                                      JOHNSON'S BABY                 BABY TOILETRIES                7790010009034     24 N     20081207T1525  A      
7737001260012 6000904              SHAMPOO CABELLOS OSCUROSX200ML                                         JOHNSON'S BABY                 BABY TOILETRIES                7891010046842     12 N     20090709T1231  A      
7737001260012 6001820              NEU ACEITE CORP.250ML                                                  NEUTROGENA                     BEAUTY                           70501618202     24 N     20080516T0955  A      
7737001260012 6003224              JB TALCO ORIG 24X200G                                                  JOHNSON´S                      BABY TOILETRIES                7891010032241     24 N     20121012T1232  A      
